Qualification,Experience,Rating,Profile,Fees,Number_degrees_diploma_certificate,Qual_unknown,Qual_BDS,Qual_BHMS,Qual_BAMS,Qual_MBBS,Qual_MS,Qual_MD,Qual_MDS,Qual_DIPLOMA,Qual_PHD,Qual_others,Area,City,Number_Feedback,Approx_Fees,Misc_Info,Area_Codes,City_Bangalore,City_Chennai,City_Coimbatore,City_Delhi,City_Ernakulam,City_Hyderabad,City_Mumbai,City_Sector 5,City_Thiruvananthapuram,City_Unknown,Profile_Ayurveda,Profile_Dentist,Profile_Dermatologists,Profile_ENT Specialist,Profile_General Medicine,Profile_Homeopath
"BHMS, MD - Homeopathy",24,100,Homeopath,100,2,0,0,1,0,0,1,1,0,0,0,0,Kakkanad,Ernakulam,16,0,1,324,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"BAMS, MD - Ayurveda Medicine",12,98,Ayurveda,350,2,0,0,0,1,0,1,1,0,0,0,0,Whitefield,Bangalore,76,0,1,926,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MBBS, MS - Otorhinolaryngology",9,0,ENT Specialist,300,2,0,0,0,0,1,1,0,0,0,0,0,Mathikere - BEL,Bangalore,0,0,0,494,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"BSc - Zoology, BAMS",12,0,Ayurveda,250,2,0,0,0,1,0,1,0,0,0,0,0,Bannerghatta Road,Bangalore,0,250,1,74,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BAMS,20,100,Ayurveda,250,1,0,0,0,1,0,1,0,0,0,0,0,Keelkattalai,Chennai,4,0,1,367,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BAMS,8,0,Ayurveda,100,1,0,0,0,1,0,1,0,0,0,0,0,Porur,Chennai,0,0,0,658,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BHMS,42,0,Homeopath,200,1,0,0,1,0,0,1,0,0,0,0,0,Karol Bagh,Delhi,0,0,0,355,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BDS,10,99,Dentist,200,1,0,1,0,0,0,0,0,0,0,0,0,Arekere,Bangalore,0,0,1,34,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MD - General Medicine",14,0,General Medicine,100,2,0,0,0,0,1,0,1,0,0,0,0,Old City,Hyderabad,0,0,0,588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"BSc, BDS",23,0,Dentist,100,2,0,1,0,0,0,0,0,0,0,0,0,Athani,Ernakulam,0,0,0,41,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MS, DNB - ENT",5,0,ENT Specialist,700,3,0,0,0,0,1,1,0,0,1,0,0,Thousand Lights,Chennai,0,0,0,841,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BAMS,7,0,Ayurveda,100,1,0,0,0,1,0,1,0,0,0,0,0,Somajiguda,Hyderabad,0,0,0,791,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"BDS, MDS",9,98,Dentist,200,2,0,1,0,0,0,1,1,1,0,0,0,Coimbatore Racecourse,Coimbatore,14,0,1,144,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS - Oral & Maxillofacial Surgery",21,0,Dentist,350,2,0,1,0,0,0,1,1,1,0,0,0,Jubilee Hills,Hyderabad,0,0,1,311,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",12,0,ENT Specialist,500,3,0,0,0,0,1,0,0,0,1,0,0,Kondli,Delhi,0,0,0,395,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
